연번	1) 나는 나의 적성(aptitude)과 내가 관심 있는 일이 무엇인지 안다	2) 나는 나의 성격과 희망하는 진로를 연관하여 생각해 본 적 있다. I have thought about the relationship between my personality and the career I want.	3) 나는 나의 진로(career) 에 도움을 줄 수 있는 사람에게 연락하여 조언을 구한다.	4) 나는 관심 있는 직업 분야로 갈 수 있는 가능성을 알아본다.	5) 나는 관심 있는 직업 분야에서 전문가가 되기 위한 방법을 찾아본다.	6) 나는 구체적인 계획을 세우고, 필요한 정보를 모으면서 진로 준비를 하고 있다.	7) 내가 희망하는 진로를 위하여 실천 계획을 구체적으로 세운다.	1) 우리 학교에서 하는 진로 관련 프로그램에 참여해 본 적 있다	1-1 )어떤 프로그램에 참여하였습니까?	1-2) 참여해 본 적이 없다면 그 이유는 무엇입니까?	1-3) 우리 학교에 있었으면 하는 유학생을 위한 진로 관련 프로그램은 무엇입니까? 희망하는 것을 모두 골라 주십시오. What career-related programs for international students would you like to have at our university? Please select all you would like.	2.) 우리 학교 밖에서 하는 진로 관련 프로그램에 참여 해 본 적 있다.	2-1 ) 어떤 프로그램에 참여하였습니까?	2-2) 참여해 본 적이 없다면 그 이유는 무엇입니까?	여러분에게 도움이 되는 활동의 필요도를 체크해 주세요. Please check the level of need for activities that will help you. [교육 (외국어, 컴퓨터, IT, 직무 등)]	여러분에게 도움이 되는 활동의 필요도를 체크해 주세요. Please check the level of need for activities that will help you. [특강 (전문가, 선배, 진로 관련 종사자 등)]	여러분에게 도움이 되는 활동의 필요도를 체크해 주세요. Please check the level of need for activities that will help you. [상담(인적성검사, 직업선호도 검사, 전무가 상담, 컨설팅 등)]	여러분에게 도움이 되는 활동의 필요도를 체크해 주세요. Please check the level of need for activities that will help you. [실습(현징탐방, 각종 인턴쉽 등)]	여러분에게 도움이 되는 활동의 필요도를 체크해 주세요. Please check the level of need for activities that will help you. [역량개발(자기관리, 취업/진로 캠프, 공모전, 취업박람회, 사회봉사, 공동체 등)]	진로에 대해 탐색하고 싶은 마음이 없다.	진로를 결정하고 싶은 의욕이 없다. There is no desire to decide on a career path.	지금 진로에 대해 생각하는 것은 너무 이르다. It is too early to think about a career path now.	나는 나의 진로에 대해 생각해 본 적이 없다.	나는 특별히 하고 싶은 일이 없다.	나는 아직 진로를 결정하고 싶은 생각이 없다.	나의 현재 성적으로는 내가 원하는 직업을 가지기가 어렵다.	직업에서 요구하는 기술이 부족하다.	하고 싶은 일은 많은데 능력이 부족해서 걱정이다.	현재 스스로가 나의 능력을 정확하게 평가하기 어려운 거 같다.	진로를 결정하게 되면 그것이 잘한 것인지 못한 것인지에 대해 걱정할 것 같다.	나는 선배, 교수님, 어른들의 결정보다는 내가 원하는 진로를 택할 것이다.	부모님이 반대하시더라도 내가 원하는 진로를 선택할 것이다. Even if my parents are against it, I will choose the career I want.	진로선택을 할 때는 다른 사람들의 의견보다는 내 생각이 중요하다.	1. 진로 관련 활동 희망하는 운영 방식	2. 진로 관련 활동 진행방식	3. 집합 교육 날짜 
1	3	2	4	4	4	4	4	없다 (1-2문항으로 이동)		없음 	특강	없다 (2-2 문항으로 이동)	진로진단검사		2	1	1	1	1	5	3	4	5	6	6	4	5	6	5	5	3	4	4	집합&온라인 동시 진행 (online+offline)	다양한 시청각 교육 매체 활용	주말
2	6	5	4	5	5	6	3	있다 (1-1 문항으로 이동)	상담		상담	없다 (2-2 문항으로 이동)	상담		4	3	5 (매우필요)	5 (매우필요)	5 (매우필요)	1	2	1	1	2	1	2	5	4	5	2	4	5	6	탄뎀형(유학생+한국인)	다양한 시청각 교육 매체 활용	주중 낮
3	2	2	3	2	2	2	2	없다 (1-2문항으로 이동)		기회가 없어서	기업 탕방	없다 (2-2 문항으로 이동)	없다		3	2	2	3	2	2	3	3	2	1	1	4	4	4	5	4	1	6	3	온라인 교육	전문가 특강	주중 낮
4	4	4	4	4	4	4	4	없다 (1-2문항으로 이동)		한국에 온 지 얼마 되지 않아 참가 조건이 많지 않다.	자기관리 관련 프로그램 self management, 사회봉사, 컴퓨터 및 IT 교육, 상담, 특강, 인턴십, 직무 관련 교육 job training, 기업 탕방, 인적성검사 Personnel and aptitude tests	없다 (2-2 문항으로 이동)	체험형 인턴십, 채용 박람회		4	4	4	4	4	4	4	4	4	4	4	4	4	4	4	4	4	4	4	탄뎀형(유학생+한국인)	강의식 수업(필요한 정보 제공 수업)	주말
5	3	3	3	3	4	5	2	있다 (1-1 문항으로 이동)	진로 캠프, 체험형 인턴십, 기업 탐방, 취업 캠프, 채용 박람회		사회봉사, 컴퓨터 및 IT 교육, 상담, 기업 탕방	없다 (2-2 문항으로 이동)	진로진단검사, 컴퓨터 교육, 체험형 인턴십, 취업 캠프, 캡스톤 디자인, 채용 박람회		2	4	5 (매우필요)	2	3	3	3	5	5	4	4	3	4	3	2	4	3	4	4	탄뎀형(유학생+한국인)	체험 학습식 수업	주중 낮
6	3	3	4	3	3	3	3	있다 (1-1 문항으로 이동)	특강, 취업 캠프		상담, 직무 관련 교육 job training	없다 (2-2 문항으로 이동)	특강		2	2	1	2	2	3	3	3	3	3	3	4	4	5	3	3	4	6	6	온라인 교육	전문가 특강	주중 저녁
7	6	6	5	5	6	6	6	있다 (1-1 문항으로 이동)	상담		자기관리 관련 프로그램 self management, 상담, 인턴십	없다 (2-2 문항으로 이동)	상담		2	3	3	3	2	4	4	5	2	1	3	5	6	6	2	5	5	2	4	집합 교육(offline)	강의식 수업(필요한 정보 제공 수업)	주중 낮
8	6	5	5	6	6	5	6	없다 (1-2문항으로 이동)		참여하는방법이 몰라서	자기관리 관련 프로그램 self management, 사회봉사, 상담, 특강, 인턴십, 직무 관련 교육 job training, 기업 탕방, 인적성검사 Personnel and aptitude tests	없다 (2-2 문항으로 이동)	진로 캠프, 진로 멘토링, 진로 컨설팅, 진로 공동체, 특강, 상담, 진로진단검사, 컴퓨터 교육, 현장 실습, 기업 탐방, 캡스톤 디자인		2	2	1	1	1	4	4	6	5	5	5	4	4	5	6	6	5	5	5	온라인 교육	다양한 시청각 교육 매체 활용	방학
9	3	5	6	5	6	1	4	없다 (1-2문항으로 이동)		자신의 한국어 능력이 부족하다고 생각해서요	직무 관련 교육 job training	없다 (2-2 문항으로 이동)	없음		3	5 (매우필요)	5 (매우필요)	5 (매우필요)	4	1	1	2	1	1	5	4	6	6	6	6	6	6	6	탄뎀형(유학생+한국인)	전문가 특강	주중 저녁
10	5	6	6	6	6	6	6	있다 (1-1 문항으로 이동)	진로 캠프, 진로진단검사\, 컴퓨터 교육, 현장 실습, 캡스톤 디자인		자기관리 관련 프로그램 self management, 컴퓨터 및 IT 교육, 직무 관련 교육 job training, 인적성검사 Personnel and aptitude tests	없다 (2-2 문항으로 이동)	진로 캠프, 컴퓨터 교육, 취업 캠프, 채용 박람회		2	3	2	3	2	4	3	4	5	6	5	4	5	4	5	6	3	5	3	탄뎀형(유학생+한국인)	전문가 특강	방학
11	4	4	5	3	3	4	3	없다 (1-2문항으로 이동)		시간이 없어서	인턴십	없다 (2-2 문항으로 이동)	진로 캠프		2	1	2	1	2	5	4	4	5	4	4	5	5	4	5	4	4	5	5	온라인 교육	인턴, 현장실습 위주 수업	방학
12	4	5	5	5	6	5	6	없다 (1-2문항으로 이동)		없음	사회봉사	없다 (2-2 문항으로 이동)	현장 실습		3	2	2	3	2	4	5	6	5	5	5	5	5	5	5	6	5	5	5	탄뎀형(유학생+한국인)	그룹 활동 수업	방학
13	6	6	6	6	6	6	6	없다 (1-2문항으로 이동)		없음	자기관리 관련 프로그램 self management, 상담, 특강	없다 (2-2 문항으로 이동)	진로 캠프		2	2	2	2	2	6	6	6	6	6	6	6	6	6	6	6	6	6	6	탄뎀형(유학생+한국인)	체험 학습식 수업	주말
14	6	6	6	6	6	6	6	없다 (1-2문항으로 이동)		재미없음	특강	있다 (2-1  문항으로 이동)	진로 컨설팅, 상담, 컴퓨터 교육		4	4	4	4	3	4	4	5	5	5	4	4	4	6	5	4	3	4	4	집합 교육(offline)	토론식 수업	주말
15	2	2	2	2	3	3	2	없다 (1-2문항으로 이동)		모릅니다	자기관리 관련 프로그램 self management, 사회봉사, 인턴십	없다 (2-2 문항으로 이동)	현장 실습, 체험형 인턴십, 취업 캠프, 캡스톤 디자인		2	2	1	4	3	2	2	2	1	1	1	1	2	3	2	2	2	2	2	탄뎀형(유학생+한국인)	인턴, 현장실습 위주 수업	방학
16	3	5	3	3	2	4	4	없다 (1-2문항으로 이동)		뭐가 있는지 몰라서	자기관리 관련 프로그램 self management, 상담, 인턴십, 직무 관련 교육 job training, 기업 탕방, 인적성검사 Personnel and aptitude tests	없다 (2-2 문항으로 이동)	취업 캠프, 채용 박람회		3	3	3	3	2	6	5	5	1	4	6	4	4	4	5	4	3	4	4	집합&온라인 동시 진행 (online+offline)	인턴, 현장실습 위주 수업	주말
17	5	4	4	4	4	4	5	없다 (1-2문항으로 이동)		아직까지 신입생이라서 그런 프로그램에 대해 잘 모릅니다	인턴십, 직무 관련 교육 job training	없다 (2-2 문항으로 이동)	특강		3	2	2	3	1	4	1	1	1	1	1	1	3	2	4	2	6	6	6	탄뎀형(유학생+한국인)	인턴, 현장실습 위주 수업	주중 낮
18	6	6	5	4	5	3	4	없다 (1-2문항으로 이동)		시간이 안 맞아서요	인턴십, 직무 관련 교육 job training	없다 (2-2 문항으로 이동)	진로 캠프		3	3	3	3	3	6	6	6	6	6	6	6	6	6	6	6	6	6	6	온라인 교육	인턴, 현장실습 위주 수업	주중 낮
19	5	3	3	4	4	5	6	없다 (1-2문항으로 이동)		행사가 있었는지 몰랐어요	자기관리 관련 프로그램 self management, 사회봉사, 컴퓨터 및 IT 교육, 인턴십, 인적성검사 Personnel and aptitude tests	없다 (2-2 문항으로 이동)		없다	3	3	3	3	3	6	3	2	1	2	2	2	2	4	5	4	3	5	3	탄뎀형(유학생+한국인)	강의식 수업(필요한 정보 제공 수업)	주말
20	5	5	5	5	4	4	3	없다 (1-2문항으로 이동)		아닉은 필요 없었습니다 	상담, 인턴십, 인적성검사 Personnel and aptitude tests	없다 (2-2 문항으로 이동)		필요 없었습니다 	3	2	4	3	4	6	1	1	1	1	1	3	4	4	5	6	6	6	6	온라인 교육	인턴, 현장실습 위주 수업	주중 저녁
